,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,-0.88251555,-0.5832911,0.043840606,0.46092597,-0.5029372,-0.37919194,1.336307,0.76516646,-0.0205886,0.18847886,0.9329673,-0.24434638,0.27237132,-0.24766542,-0.45353147,-0.027723152,-0.019884553,0.79469985,-0.12464957,0.08612424,0.67905855,1.3673686,1.309139,-0.904293,0.51592743,-0.051222604,-0.44898054,0.42638275,0.10482995,-0.35452616,-0.1178505,-0.12658142
2,-0.83935344,-0.7944691,0.052197285,0.40538183,-0.31242916,-0.5306691,1.5203862,0.82668674,-0.14706957,0.18766862,1.0082142,-0.49894482,0.14262885,-0.3264207,-0.51589906,0.07353582,-0.037185077,0.7444642,-0.063783675,0.26495618,0.6776821,1.5520066,1.7108793,-0.99934965,0.49560732,-0.0985218,-0.60812074,0.6349534,0.35358632,-0.4346069,-0.06669768,-0.02772225
3,-0.82692677,-0.57298154,-0.0896738,0.5164747,-0.68567985,-0.0149564,1.4060439,0.9586418,0.1169598,-0.12731564,1.1053435,-0.31383806,0.46600008,-0.36632437,-0.607893,-0.25657493,0.051875196,0.5288683,0.059391774,0.22712459,0.26009113,0.7917754,1.2440792,-0.8455169,0.13905382,0.18672186,0.0760349,0.41191465,0.35134962,-0.27542943,0.14771181,0.34891593
4,-1.0871038,-0.6891728,-0.015095895,0.46756947,-0.58752084,-0.31711426,1.5377123,0.81801933,0.010243447,0.10750422,1.053694,-0.25548857,0.25461766,-0.37821844,-0.43285754,-0.1700225,-0.14785722,0.9068474,-0.03453807,0.090659685,0.63461065,1.5006009,1.3675884,-0.94739014,0.61186445,-0.08925589,-0.32144848,0.3699584,0.22755158,-0.36064056,-0.11788036,-0.073562175
5,-0.7723556,-0.6094177,0.12732206,0.39220166,-0.39315987,-0.45464185,1.3221719,0.7168072,-0.050486315,0.19978198,0.94281924,-0.3370498,0.38812092,-0.36494395,-0.5021958,0.10405498,-0.013825988,0.69197243,-0.02178886,0.2023213,0.6474365,1.4591694,1.4296185,-0.90307915,0.36950275,0.012988343,-0.6187616,0.5446533,0.21479689,-0.3208589,-0.005836757,-0.02485909
6,-0.978895,-0.5969367,-0.042568598,0.40473446,-0.48827067,-0.2833861,1.3771535,0.6991195,0.03384254,0.23227872,0.9321255,-0.34884754,0.32118684,-0.29275352,-0.40458214,-0.05303641,-0.09117363,0.8140201,-0.07958737,0.092117004,0.6015153,1.3915218,1.3383198,-0.9038047,0.5293544,-0.0791177,-0.4047108,0.3286666,0.13912565,-0.36431038,-0.100187436,-0.079984196
7,-0.75984794,-0.646967,0.050897676,0.35653228,-0.4043186,-0.28998446,1.0836446,0.5943433,-0.05785238,0.27289563,0.7875916,-0.26638448,0.39414668,-0.22133611,-0.47474453,0.09317422,0.012415448,0.7312903,-0.16750966,0.09179423,0.7226193,1.3116487,1.2925789,-0.79874796,0.40955475,0.042110536,-0.6049634,0.32914212,-0.006450957,-0.34977582,-0.011999682,-0.15713106
8,-0.63157743,-0.6281172,0.12442711,0.33161417,-0.38127318,-0.33998954,1.1255878,0.5507212,-0.09669762,0.16073836,0.7555217,-0.3667909,0.32333282,-0.2651825,-0.44348663,0.10642993,-0.014650802,0.6135812,-0.09108288,0.2231154,0.6028297,1.2788343,1.2854692,-0.7827179,0.29316285,-0.0223029,-0.5569623,0.40726757,0.12435517,-0.3604232,-0.028270612,-0.07346649
9,-0.7769952,-0.67724854,0.029104795,0.32562613,-0.39430296,-0.26832253,1.1590636,0.6063288,-0.072862655,0.31874138,0.84867495,-0.2779282,0.29310802,-0.21158355,-0.46453708,0.13593835,0.07004496,0.70990705,-0.19766688,0.17404419,0.75937575,1.3198171,1.3478177,-0.8133715,0.38979825,-0.026413428,-0.59827316,0.36760625,0.044329662,-0.37235162,-0.015087886,-0.1371776
10,-0.09410275,-0.4488379,-0.26493227,0.40075922,0.1917324,-0.43244672,0.9310064,0.8210312,0.14144263,0.18967171,0.57076895,-0.70840394,-0.3404924,0.03912762,-0.26333135,0.15549031,0.12717243,0.14756078,-0.12096242,0.49988073,0.46368942,0.41170475,1.3817396,-0.5553163,0.29137546,-0.17904998,-0.049938347,0.5790976,0.678185,-0.34724125,-0.26131907,0.4933854
