emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
0.0,2.5614564,0.0,0.17997912,4.8531313,0.0,6.779137,0.0,0.0,1.1119392,0.0,0.0,0.035035543,0.0,0.0,0.0,0.0,0.0,0.0,0.1487771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3769636,0.0,0.0,0.0,0.33218586
0.0,1.8840239,0.0,1.104669,3.6932297,1.0768136,4.5128746,0.0,0.0,0.5369222,1.5437624,0.0,0.82420576,0.5304321,0.0,0.0,0.0,0.0,2.2309246,1.1525568,2.0151892,0.0,0.0,0.0,0.0,1.2405057,1.1425003,1.9727479,0.0,0.0,0.8160569,1.8428651
0.0,2.3812482,0.0,1.4614879,2.3180444,2.8057883,4.3825855,0.0,0.0,0.63150775,2.7317486,0.0,1.1474245,0.2225014,0.0,0.0,0.0,0.0,2.0128503,2.3861916,2.6471848,0.0,0.0,0.0,0.0,1.8358967,1.5164824,2.3960514,0.0,0.0,2.5293746,1.8629721
0.0,2.4098396,0.0,1.451159,3.0691242,2.8657386,4.3126364,0.0,0.42577818,0.24651839,2.555998,0.20032696,1.7138523,0.8309072,0.0,0.0,0.0,0.0,2.72289,2.0568724,2.8457346,0.0,0.0,0.0,0.0,1.752311,1.3462272,2.5349157,0.0,0.0,2.5235708,1.7005244
0.0,1.0840242,0.0,0.8918771,1.7407966,1.1763322,1.7813938,0.0,0.0,0.3374342,1.4126319,0.0,0.7566622,0.73112184,0.0,0.0,0.0,0.0,1.5606519,0.8892379,1.7158749,0.0,0.0,0.0,0.0,0.68846464,0.8629427,1.3773916,0.0,0.0,1.3036218,1.0731354
0.0,1.014796,0.0,1.055483,1.4981298,1.3464355,1.5740659,0.0,0.0,0.34502652,1.6300454,0.0,0.8057284,0.61438644,0.0,0.0,0.0,0.0,1.7220086,1.1405858,1.953379,0.0,0.0,0.0,0.0,0.89711773,1.0271792,1.427034,0.0,0.0,1.4683151,1.1352376
0.0,2.5681677,0.0,1.3289322,3.913757,1.2997744,5.391889,0.0,0.0,0.74675274,1.5148112,0.0,0.5337939,0.26653993,0.0,0.0,0.0,0.0,1.8360369,1.3144345,1.6621258,0.0,0.0,0.0,0.0,1.1794517,0.7811991,1.9314271,0.0,0.0,1.1174343,1.761922
0.0,2.8401887,0.0,0.0,4.7178063,0.0,6.889441,0.0,0.0,0.7001562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15092966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.091298,0.0,0.0,0.0,0.54850376
0.0,1.6097894,0.0,2.330149,1.3133806,2.8955848,2.108317,0.0,0.0,0.48276833,3.3331087,0.0,1.2496017,0.28044927,0.0,0.0,0.0,0.0,3.1100354,2.4759018,3.5579038,0.0,0.0,0.0,0.0,2.5098467,1.9440864,2.402814,0.0,0.0,2.832348,1.9639742
0.0,1.7764018,0.0,0.97542983,2.8869886,1.4760451,4.548792,0.0,0.0,0.9149307,1.7593981,0.0,0.86836255,0.1973325,0.0,0.0,0.0,0.0,1.6415566,1.1224813,1.8916978,0.0,0.0,0.0,0.0,1.6448306,1.1767801,2.0235863,0.0,0.0,1.2332174,1.434277
0.0,2.4382017,0.0,0.3557906,4.6903296,0.052422035,6.6991806,0.0,0.0,0.66604257,0.0,0.0,0.04857164,0.0,0.0,0.0,0.0,0.0,0.2522772,0.6785988,0.15482655,0.0,0.0,0.0,0.0,0.14970568,0.22491837,1.2159759,0.0,0.0,0.0,0.69952476
0.0,2.4678943,0.0,0.32554615,4.579112,0.0,6.4143357,0.0,0.0,0.9734416,0.0,0.0,0.12984057,0.0,0.0,0.0,0.0,0.0,0.48706102,0.22728679,0.10987969,0.0,0.0,0.0,0.0,0.31725997,0.0,1.352855,0.0,0.0,0.032461572,0.7450144
0.0,0.8769819,0.0,1.0713252,1.3314267,1.5002964,1.3570911,0.0,0.0,0.39002898,1.8695724,0.0,1.0131212,0.6159967,0.0,0.0,0.0,0.0,1.9120829,1.3100559,2.2648444,0.0,0.0,0.0,0.0,0.97884685,1.2879959,1.4678104,0.0,0.0,1.5029988,1.1195737
