0	1
0	3
0	2
0	18
1	23
1	18
1	22
2	14
3	1
4	3
6	1
6	23
6	18
6	2
6	4
6	22
7	18
9	2
9	11
12	1
12	3
12	18
12	2
13	0
28	1
28	23
28	3
28	18
28	22
15	20
15	18
15	2
15	3
15	4
15	6
15	22
15	7
16	1
16	6
16	22
18	1
18	24
18	23
18	2
18	3
18	17
18	22
18	19
19	18
20	24
20	23
20	18
20	2
20	25
20	26
20	21
20	14
20	22
20	12
21	20
21	18
21	2
22	20
22	23
22	25
22	18
22	2
22	26
22	21
23	2
23	18
23	21
23	22
23	14
23	19
24	23
24	2
24	18
25	23
29	20
29	23
29	18
29	3
29	2
29	80
29	6
31	0
31	23
31	142
31	144
31	2
31	18
33	23
33	2
33	80
33	29
34	143
34	49
34	2
34	51
34	138
107	110
107	115
107	112
107	106
107	109
107	113
107	111
107	116
107	114
108	64
108	49
108	142
108	18
108	2
108	106
108	71
108	131
108	14
108	138
109	108
109	142
109	131
110	108
111	108
112	108
112	131
113	108
113	142
113	131
114	108
114	142
114	131
115	108
116	108
116	131
35	64
35	95
117	118
117	119
119	122
119	123
119	121
119	120
119	117
120	118
121	118
121	119
122	118
122	119
123	118
37	141
37	155
37	2
37	9
37	152
37	149
37	23
37	18
37	140
37	150
37	148
37	139
37	138
38	2
38	9
38	74
39	23
39	18
39	2
40	23
40	49
40	2
40	18
40	71
40	52
40	70
40	81
32	23
32	2
41	0
41	23
41	142
41	18
41	144
41	2
42	143
42	18
42	2
42	9
42	74
42	138
43	23
43	2
44	2
44	18
44	9
44	74
45	2
45	18
45	175
45	62
46	20
46	23
46	18
46	2
47	23
47	2
47	18
48	23
48	49
48	18
48	2
48	71
48	52
48	131
48	81
48	53
48	136
49	71
49	52
49	81
49	53
51	135
51	141
51	49
51	155
51	2
51	18
51	48
51	131
51	148
51	9
51	138
54	20
54	23
54	2
55	2
55	18
55	9
55	96
55	74
56	23
56	2
56	18
57	74
60	23
60	2
60	18
60	48
61	23
61	2
61	18
61	96
58	23
58	2
59	23
59	2
59	18
62	105
62	2
62	18
62	175
62	11
62	72
62	73
63	49
63	142
63	144
63	71
63	132
63	131
63	50
63	81
63	136
64	107
64	155
64	142
64	144
64	106
64	151
64	74
65	23
66	135
66	143
66	49
66	142
66	144
66	131
66	70
66	81
66	138
67	49
67	68
67	18
67	2
68	23
68	18
68	52
69	23
69	2
71	70
71	81
72	73
74	143
74	23
74	18
74	9
74	138
75	23
75	2
76	2
76	140
76	18
76	139
76	37
76	138
77	23
77	25
77	2
77	14
78	23
78	49
78	2
78	18
78	71
79	142
79	144
79	138
80	0
80	20
80	23
80	49
80	2
80	18
81	92
81	52
82	135
82	83
83	1
83	18
83	4
85	2
85	18
85	9
85	74
86	128
86	155
86	148
86	127
86	74
125	142
125	18
125	86
125	148
125	131
125	127
125	138
126	125
128	130
128	129
128	127
128	126
129	125
130	125
89	23
89	25
89	2
90	23
90	2
90	18
90	48
90	9
87	0
87	135
87	20
87	23
87	142
87	144
87	2
87	18
87	9
87	138
93	166
93	155
93	153
93	2
93	18
93	9
93	164
93	163
93	74
93	138
95	41
94	23
96	23
96	2
96	18
96	9
96	149
96	138
97	51
98	23
98	2
98	18
98	14
99	41
100	23
100	2
100	18
100	165
100	164
100	96
101	141
101	155
101	153
101	2
101	18
101	9
101	148
101	74
101	138
102	2
102	18
102	175
102	62
104	0
104	103
104	2
104	18
104	9
104	74
105	135
105	145
105	155
105	2
105	175
105	9
105	11
105	146
105	172
105	153
105	18
105	74
105	138
131	142
132	142
132	131
132	136
133	144
134	133
136	142
137	133
137	144
138	133
138	143
138	144
139	133
140	139
141	133
141	135
141	142
141	144
141	148
142	133
142	144
142	138
143	133
143	144
145	138
145	146
26	24
26	23
26	2
26	25
26	18
26	21
26	12
150	148
151	148
152	148
153	148
156	158
157	158
159	158
154	148
155	148
155	149
27	1
27	23
27	3
27	2
27	18
27	6
27	22
160	161
164	167
164	163
165	162
165	164
166	162
166	164
166	163
168	170
168	173
168	176
168	174
169	173
169	171
169	168
169	176
171	173
171	176
172	169
172	173
172	176
173	176
175	176
175	174
175	172
